R_a     U_K     I
Ohm     V       mA
0.00    3.7     180
2.50    3.7     170
5.00    3.3     150
7.50    3.1     140
10.0    3.0     130
12.5    2.8     120
15.0    2.7     110
17.5    2.6     110
20.0    2.6     100
22.5    2.5     100
25.0    2.5     95
27.5    2.4     90
30.0    2.3     90
32.5    2.3     90
35.0    2.3     85
37.5    2.2     80
40.0    2.2     80
42.5    2.2     80
45.0    2.2     80
47.5    2.1     80
50.0    2.1     75
