T       p
°C      bar
100     1.24
102     1.33
104     1.43
106     1.54
108     1.66
110     1.78
112     1.90
114     2.04
116     2.18
118     2.34
120     2.50
122     2.67
124     2.85
126     3.04
128     3.25
130     3.47
132     3.69
134     3.94
136     4.20
138     4.48
140     4.79
142     5.11
144     5.48
146     5.87
148     6.31
150     6.79
152     7.36
154     8.03
156     8.81
158     9.86
160     11.26
162     12.46
