t		v70			v45		Streuintensität70		Steuintensität45
micro second    meterpersecond		meterpersecond  1000*V^2/s			1000*V^2/s
13.0		1.08			0.57		307				184
13.5		1.11			0.60		374				214
14.0		1.24			0.64		388				235
14.5		1.30			0.67		406				228
15.0		1.34			0.70		415				220
15.5		1.30			0.67		410				222
16.0		1.24			0.64		401				221
16.5		1.11			0.60		437				214
17.0		0.89			0.51		161				124
17.5		0.89			0.51		200				124

