s       a
cm      mm
15      0.99
16      1.08
17      1.19
18      1.32
19      1.47
20      1.61
21      1.79
22      1.93
23      2.13
24      2.30
25      2.50
26      2.69
27      2.88
28      3.07
29      3.27
30      3.42
31      3.64
32      3.82
33      4.07
34      4.25
35      4.46
36      4.66
37      4.87
38      5.09
39      5.27
40      5.50
41      5.74
42      5.96
43      6.17
44      6.38
45      6.64
