t        U
mikros        V
 10      6,2
 20      5,9
 30      5,4
 40      5,0
 50      4,6
 60      4,3
 70      3,9
 80      3,7
 90      3,3
100      3,2
110      2,8
120      2,8
130      2,4
140      2,4
150      2,0
160      2,0
170      1,8
180      1,7
190      1,5
200      1,4
210      1,3
220      1,2
230      1,1
240      1,0
250      0,8
