T       p
°C      bar
100     2.24
102     2.33
104     2.43
106     2.54
108     2.66
110     2.78
112     2.90
114     3.04
116     3.18
118     3.34
120     3.50
122     3.67
124     3.85
126     4.04
128     4.25
130     4.47
132     4.69
134     4.94
136     5.20
138     5.48
140     5.79
142     6.11
144     6.48
146     6.87
148     7.31
150     7.79
152     8.36
154     9.03
156     9.81
158     10.86
160     12.26
162     14.46
